mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,95,Val-d'Oise,17359.0,2021-11-30,0,2017-01-01,17359.0,,29702.0,58.0,2022-12-31,utilisateurs
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,95,Val-d'Oise,359.0,2021-10-31,0,,359.0,,2117.0,17.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,95,Val-d'Oise,584.0,2021-09-30,0,,584.0,,4442.0,13.0,2022-12-31,attestations
