mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,2A,Corse-du-Sud,23.3,2020-12-31,13.7,2017-12-31,10.0,70.0,15.0,100.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,2A,Corse-du-Sud,181.0,2019-12-31,134.0,2017-12-31,47.0,35.0,276.0,33.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,2A,Corse-du-Sud,98.58,2020-12-31,0.0,2017-12-31,99.0,,99.0,100.0,2022-12-31,%
