mesure,indicateur,id_indicateur,maille_geographique,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats (national et local),tx-transparence-resultats,national,88.0,2021-12-31,46.0,2019-12-31,42.0,91.0,100.0,78.0,2022-12-31,% de réseaux
Améliorer la qualité du service rendu à l’usager,Taux de satisfaction des usagers à l’égard des services publics (national),tx-satisfaction-usagers-services-publics,national,76.0,2021-03-31,72.0,2017-12-31,4.0,6.0,77.0,80.0,2022-12-31,% de satisfaction
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,national,67.0,2021-09-30,22.0,2017-03-31,45.0,205.0,80.0,78.0,2022-12-31,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,national,1745.0,2021-12-31,0.0,2017-01-01,1745.0,,2543.0,69.0,2022-12-31,labellisations
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,national,1745.0,2021-12-31,0.0,2017-01-01,1745.0,,2543.0,69.0,2022-12-31,labellisations
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,national,14822.0,2021-11-30,,,,,,,,logements rénovés depuis octobre 2020
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,national,59605.0,2021-09-30,0.0,,59605.0,,70000.0,85.0,2022-12-31,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,national,59605.0,2021-09-30,0.0,,59605.0,,70000.0,85.0,2022-12-31,logements rénovés
Mettre en place un état civil numérique pour les Français de l'étranger,Taux d’adhésion des usagers à la délivrance dématérialisée d’actes d’état civil,tx-adhesion-etat-civil,national,92.0,2021-10-31,87.0,2021-05-31,5.0,6.0,90.0,100.0,2022-12-31,%
