mesure,indicateur,id_indicateur,maille_geographique,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,national,6.0,2021-09-30,6.0,2021-06-30,0.0,0.0,11.0,0.0,2022-12-31,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,national,22128.0,2022-01-31,18000.0,2018-12-31,4128.0,23.0,30000.0,34.0,2022-12-31,postes
Simplifier l’accès à l’aide juridictionnelle,Nombre de demandes d'aide juridictionnelle formulées par voie dématérialisée,nb-aide-juridictionnelle-dematerialisee,national,6.1,2022-02-28,0.0,2021-01-31,6.0,,15.0,41.0,2022-12-31,% des demandes *
