mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,71,Saône-et-Loire,100.0,2020-10-31,86.0,2019-10-31,14.0,16.0,,,,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de grande section en REP dédoublées,tx-gs-rep,71,Saône-et-Loire,76.0,2020-11-30,19.0,2019-11-30,57.0,300.0,,,,100.0,70.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,71,Saône-et-Loire,84.0,2020-09-30,79.0,2019-09-30,5.0,6.0,,,,100.0,24.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,71,Saône-et-Loire,35.0,2020-09-30,27.0,2018-03-31,8.0,30.0,,,,36.0,89.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,71,Saône-et-Loire,88.0,2020-09-30,77.0,2017-09-30,11.0,14.0,,,,92.0,73.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,71,Saône-et-Loire,2.0,2020-09-30,1.0,2017-09-30,1.0,100.0,,,,4.0,33.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,71,Saône-et-Loire,46.0,2019-10-31,45.0,2017-10-31,1.0,2.0,,,,,,,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,71,Saône-et-Loire,741.0,2020-12-31,459.0,2017-12-31,282.0,61.0,,,,,,,jeunes
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,71,Saône-et-Loire,18.0,2021-03-31,0.0,,18.0,,,,,,,,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,71,Saône-et-Loire,249.0,2021-04-30,60.0,2021-02-28,189.0,315.0,,,,703.0,29.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et un plan d'action individualisé,nb-diagnostics-individualises,71,Saône-et-Loire,74.0,2021-04-30,25.0,2021-01-31,49.0,196.0,,,,204.0,27.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,71,Saône-et-Loire,3556.0,2020-12-31,2456.0,2017-12-31,1100.0,45.0,2747.0,29.0,2019-12-31,,,,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,71,Saône-et-Loire,6996.0,2020-12-31,6450.0,2018-12-31,546.0,8.0,,,,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,71,Saône-et-Loire,1467.0,2020-12-31,1181.0,2017-01-31,286.0,24.0,,,,,,,bénéficiaires
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,71,Saône-et-Loire,211866.0,2020-12-31,0.0,2017-01-01,211866.0,,,,,254286.0,83.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,71,Saône-et-Loire,783.0,2021-03-31,663.0,2017-12-31,120.0,18.0,766.0,2.0,2020-09-30,836.0,69.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,71,Saône-et-Loire,9392.0,2021-03-31,0.0,2018-03-31,9392.0,,7939.0,18.0,2020-09-30,12179.0,77.0,2022-06-30,primes et bonus
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,71,Saône-et-Loire,40000.0,2020-12-31,0.0,2017-06-30,40000.0,,40000.0,0.0,2020-06-30,560000.0,7.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,71,Saône-et-Loire,3.6,2019-12-31,2.8,2017-12-31,1.0,29.0,,,,,,,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,71,Saône-et-Loire,510.0,2019-12-31,318.0,2017-12-31,192.0,60.0,,,,,,,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,71,Saône-et-Loire,99.86,2020-12-31,0.0,2017-12-31,100.0,,,,,99.0,101.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,71,Saône-et-Loire,92601.0,2021-02-28,162042.0,2017-03-31,-69441.0,-43.0,,,,,,,heures de patrouille dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,71,Saône-et-Loire,161.0,2021-03-31,0.0,,161.0,,,,,,,,amendes dressées dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,71,Saône-et-Loire,0.0,2020-12-31,,,,,,,,,,,contrôles dans l'année
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,71,Saône-et-Loire,27.0,2020-12-31,46.0,2017-12-31,-19.0,-41.0,48.0,-44.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d'intérêt général proposés en tant que peine,nb-postes-tig,71,Saône-et-Loire,211.0,2021-03-31,211.0,2021-03-31,0.0,0.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,71,Saône-et-Loire,51.0,2021-03-31,15.0,2020-12-31,36.0,240.0,,,,,,,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,71,Saône-et-Loire,5.8,2020-12-31,6.4,2019-01-31,-1.0,-9.0,8.5,-32.0,2020-09-30,40.0,-2.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins dentaires,tx-equipements-dentaire,71,Saône-et-Loire,58.83,2020-12-31,32.82,2019-04-30,26.0,79.0,59.86,-2.0,2020-09-30,45.0,214.0,2022-12-31,%
