mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,971,Guadeloupe,100.0,2021-10-31,89.0,2019-10-31,11.0,12.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,971,Guadeloupe,85.0,2021-10-31,3.0,2019-11-30,82.0,2733.0,30.0,183.0,2020-11-30,89.0,95.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,971,Guadeloupe,88.0,2021-09-30,86.0,2019-09-30,2.0,2.0,88.0,0.0,2020-09-30,100.0,14.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,971,Guadeloupe,45.0,2021-09-30,19.0,2018-03-31,26.0,137.0,,,,36.0,100.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,971,Guadeloupe,131.0,2021-09-30,125.0,2017-09-30,6.0,5.0,130.0,1.0,2020-09-30,134.0,67.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,971,Guadeloupe,6.0,2021-09-30,1.0,2017-09-30,5.0,500.0,3.0,100.0,2020-09-30,4.0,100.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,971,Guadeloupe,43.2,2020-10-31,21.4,2017-10-31,22.0,102.0,31.5,37.0,2019-10-31,47.0,85.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,971,Guadeloupe,2576.0,2021-12-31,2002.0,2017-12-31,574.0,29.0,2605.0,-1.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,971,Guadeloupe,12.0,2021-12-31,0.0,2020-10-31,12.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,971,Guadeloupe,540.0,2022-02-28,0.0,2020-09-30,540.0,,3.0,17900.0,2021-04-30,46.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,971,Guadeloupe,183.0,2022-02-28,0.0,2020-09-30,183.0,,66.0,177.0,2021-04-30,255.0,72.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,971,Guadeloupe,2186.0,2021-12-31,834.0,2017-12-31,1352.0,162.0,1540.0,42.0,2020-12-31,1446.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,971,Guadeloupe,7098.0,2021-07-31,6347.0,2019-07-31,751.0,12.0,4771.0,49.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,971,Guadeloupe,973.0,2021-10-31,639.0,2017-01-31,334.0,52.0,607.0,60.0,2021-02-28,1726.0,31.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,971,Guadeloupe,121583.0,2021-12-31,0.0,2017-12-31,121583.0,,,,,151745.0,80.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,971,Guadeloupe,4.0,2021-12-31,0.0,2017-12-31,4.0,,2.0,100.0,2020-09-30,75.0,5.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,971,Guadeloupe,2591.0,2022-01-31,0.0,2018-01-31,2591.0,,1327.0,95.0,2020-09-30,8362.0,31.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,971,Guadeloupe,33.0,2022-01-31,7.0,2019-09-30,26.0,371.0,,,,557.0,5.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,971,Guadeloupe,0.0,2021-12-31,0.0,2017-06-30,0.0,,,,,400000.0,0.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,971,Guadeloupe,2.9,2020-12-31,0.6,2017-12-31,2.0,383.0,1.6,81.0,2019-12-31,15.0,16.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,971,Guadeloupe,188.0,2020-12-31,49.0,2017-12-31,139.0,284.0,,,,160.0,100.0,2022-12-31,agriculteurs
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,971,Guadeloupe,600027.0,2022-01-31,607406.0,2021-12-31,-7379.0,-1.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,971,Guadeloupe,24.0,2021-12-31,43.0,2017-12-31,-19.0,-44.0,,,,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,971,Guadeloupe,34.0,2021-12-31,62.0,2017-12-31,-28.0,-45.0,,,,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,971,Guadeloupe,465.0,2021-12-31,0.0,2020-05-31,465.0,,133.0,250.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,971,Guadeloupe,28.0,2020-12-31,14.0,2017-12-31,14.0,100.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,971,Guadeloupe,8.0,2021-12-31,,,,,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,971,Guadeloupe,65.0,2021-12-31,41.0,2017-12-31,24.0,59.0,47.0,38.0,2019-12-31,,,,morts
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,971,Guadeloupe,3.0,2021-09-30,3.0,2021-06-30,0.0,0.0,,,,,,,% de détenus
