mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,73,Savoie,100.0,2021-10-31,98.0,2019-10-31,2.0,2.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,73,Savoie,92.0,2021-10-31,0.0,2019-11-30,92.0,,18.0,411.0,2020-11-30,94.0,98.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,73,Savoie,77.0,2021-09-30,64.0,2019-09-30,13.0,20.0,73.0,5.0,2020-09-30,100.0,36.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,73,Savoie,21.0,2021-09-30,20.0,2018-03-31,1.0,5.0,,,,26.0,17.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,73,Savoie,69.0,2021-09-30,60.0,2017-09-30,9.0,15.0,64.0,8.0,2020-09-30,76.0,56.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,73,Savoie,3.0,2021-09-30,1.0,2017-09-30,2.0,200.0,3.0,0.0,2020-09-30,4.0,67.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,73,Savoie,54.5,2020-10-31,42.7,2017-10-31,12.0,28.0,46.8,16.0,2019-10-31,47.0,100.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,73,Savoie,516.0,2021-12-31,570.0,2017-12-31,-54.0,-9.0,504.0,2.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,73,Savoie,95.0,2021-12-31,0.0,2020-10-31,95.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,73,Savoie,901.0,2022-02-28,0.0,2020-09-30,901.0,,184.0,390.0,2021-04-30,882.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,73,Savoie,286.0,2022-02-28,0.0,2020-09-30,286.0,,103.0,178.0,2021-04-30,270.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,73,Savoie,4821.0,2021-12-31,1788.0,2017-12-31,3033.0,170.0,3472.0,39.0,2020-12-31,3501.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,73,Savoie,18407.0,2021-07-31,26739.0,2019-07-31,-8332.0,-31.0,12617.0,46.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,73,Savoie,1018.0,2021-10-31,612.0,2017-01-31,406.0,66.0,740.0,38.0,2021-02-28,1324.0,57.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,73,Savoie,151663.0,2021-12-31,0.0,2017-12-31,151663.0,,,,,200832.0,76.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,73,Savoie,364.0,2021-12-31,338.0,2017-12-31,26.0,8.0,307.0,19.0,2020-09-30,353.0,100.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,73,Savoie,8918.0,2022-01-31,0.0,2018-01-31,8918.0,,5298.0,68.0,2020-09-30,9738.0,92.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,73,Savoie,509.0,2022-01-31,206.0,2019-09-30,303.0,147.0,,,,649.0,68.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,73,Savoie,20000.0,2021-12-31,0.0,2017-06-30,20000.0,,20000.0,0.0,2020-06-30,430000.0,5.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,73,Savoie,4.3,2020-12-31,2.8,2017-12-31,2.0,54.0,3.7,16.0,2019-12-31,15.0,12.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,73,Savoie,269.0,2020-12-31,155.0,2017-12-31,114.0,74.0,,,,334.0,64.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,73,Savoie,99.05,2021-12-31,0.0,2017-12-31,99.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,73,Savoie,573275.0,2022-01-31,537700.0,2017-12-31,35575.0,7.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,73,Savoie,81.0,2021-12-31,72.0,2017-12-31,9.0,12.0,,,,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,73,Savoie,246.0,2021-12-31,340.0,2017-12-31,-94.0,-28.0,,,,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,73,Savoie,257.0,2021-12-31,0.0,2020-05-31,257.0,,69.0,272.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,73,Savoie,3.0,2020-06-30,3.0,2017-09-30,0.0,0.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,73,Savoie,25.0,2021-12-31,,,,,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,73,Savoie,21.0,2021-12-31,35.0,2017-12-31,-14.0,-40.0,31.0,-32.0,2019-12-31,,,,morts
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,73,Savoie,7.0,2021-09-30,7.0,2021-06-30,0.0,0.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,73,Savoie,144.0,2022-01-31,92.0,2021-03-31,52.0,57.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,73,Savoie,368.0,2022-02-28,0.0,2020-09-30,368.0,,38.0,868.0,2021-03-31,1501.0,25.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,73,Savoie,25.41,2021-09-30,0.0,2018-12-31,25.0,,7.55,237.0,2020-09-30,40.0,64.0,2022-12-31,%
