mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,88,Vosges,100.0,2020-10-31,93.0,2019-10-31,7.0,8.0,,,,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de grande section en REP dédoublées,tx-gs-rep,88,Vosges,44.0,2020-11-30,12.0,2019-11-30,32.0,267.0,,,,89.0,42.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,88,Vosges,95.0,2020-09-30,88.0,2019-09-30,7.0,8.0,,,,100.0,58.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,88,Vosges,38.0,2020-09-30,30.0,2018-03-31,8.0,27.0,,,,39.0,89.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,88,Vosges,88.0,2020-09-30,78.0,2017-09-30,10.0,13.0,,,,92.0,71.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,88,Vosges,2.0,2020-09-30,1.0,2017-09-30,1.0,100.0,,,,3.0,50.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,88,Vosges,41.0,2019-10-31,37.0,2017-10-31,4.0,11.0,,,,,,,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,88,Vosges,799.0,2020-12-31,860.0,2017-12-31,-61.0,-7.0,,,,,,,jeunes
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,88,Vosges,17.0,2021-03-31,0.0,,17.0,,,,,,,,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,88,Vosges,171.0,2021-04-30,25.0,2021-02-28,146.0,584.0,,,,506.0,30.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et un plan d'action individualisé,nb-diagnostics-individualises,88,Vosges,90.0,2021-04-30,32.0,2021-01-31,58.0,181.0,,,,165.0,44.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,88,Vosges,2522.0,2020-12-31,1876.0,2017-12-31,646.0,34.0,2103.0,20.0,2019-12-31,,,,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,88,Vosges,4630.0,2020-12-31,4256.0,2018-12-31,374.0,9.0,,,,,,,Recrutements de jeunes
