mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,82,Tarn-et-Garonne,100.0,2020-10-31,91.0,2019-10-31,9.0,10.0,,,,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de grande section en REP dédoublées,tx-gs-rep,82,Tarn-et-Garonne,0.0,2020-11-30,0.0,2019-11-30,0.0,,,,,50.0,0.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,82,Tarn-et-Garonne,81.0,2020-09-30,75.0,2019-09-30,6.0,8.0,,,,100.0,24.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,82,Tarn-et-Garonne,33.0,2020-09-30,26.0,2018-03-31,7.0,27.0,,,,34.0,88.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,82,Tarn-et-Garonne,56.0,2020-09-30,45.0,2017-09-30,11.0,24.0,,,,60.0,73.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,82,Tarn-et-Garonne,1.0,2020-09-30,1.0,2017-09-30,0.0,0.0,,,,3.0,0.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,82,Tarn-et-Garonne,43.1,2019-10-31,43.2,2017-10-31,-0.0,-0.0,,,,47.0,0.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,82,Tarn-et-Garonne,476.0,2020-12-31,404.0,2017-12-31,72.0,18.0,,,,,,,jeunes
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,82,Tarn-et-Garonne,10.0,2021-06-30,0.0,,10.0,,,,,,,,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,82,Tarn-et-Garonne,255.0,2021-06-30,20.0,2021-02-28,235.0,1175.0,103.0,148.0,2021-04-30,380.0,65.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,82,Tarn-et-Garonne,81.0,2021-06-30,11.0,2021-01-31,70.0,636.0,71.0,14.0,2021-04-30,129.0,59.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,82,Tarn-et-Garonne,1593.0,2020-12-31,915.0,2017-12-31,678.0,74.0,1172.0,36.0,2019-12-31,1558.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,82,Tarn-et-Garonne,3860.0,2021-02-28,3529.0,2019-02-28,331.0,9.0,3860.0,0.0,2021-02-28,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,82,Tarn-et-Garonne,447.0,2021-03-31,363.0,2017-01-31,84.0,23.0,407.0,10.0,2021-02-28,651.0,29.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,82,Tarn-et-Garonne,96255.0,2020-12-31,0.0,2017-01-01,96255.0,,,,,114047.0,84.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,82,Tarn-et-Garonne,270.0,2021-03-31,189.0,2017-12-31,81.0,43.0,270.0,0.0,2020-09-30,290.0,80.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,82,Tarn-et-Garonne,6268.0,2021-05-31,0.0,2018-03-31,6268.0,,5221.0,20.0,2020-09-30,5835.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,82,Tarn-et-Garonne,262.0,2021-07-31,0.0,,262.0,,,,,389.0,67.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,82,Tarn-et-Garonne,260000.0,2020-12-31,250000.0,2017-06-30,10000.0,4.0,260000.0,0.0,2020-06-30,260000.0,100.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,82,Tarn-et-Garonne,11.1,2020-12-31,8.1,2017-12-31,3.0,37.0,10.3,8.0,2019-12-31,15.0,43.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,82,Tarn-et-Garonne,689.0,2019-12-31,486.0,2017-12-31,203.0,42.0,,,,1050.0,36.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,82,Tarn-et-Garonne,99.82,2020-12-31,0.0,2017-12-31,100.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,82,Tarn-et-Garonne,273215.0,2021-05-31,311010.0,2018-01-31,-37795.0,-12.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,82,Tarn-et-Garonne,16.0,2021-06-30,10.0,2017-06-30,6.0,60.0,,,,,,,atteintes aux personnes entre janvier et juin
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,82,Tarn-et-Garonne,38.0,2021-06-30,73.0,2017-06-30,-35.0,-48.0,,,,,,,atteintes aux biens entre janvier et juin
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,82,Tarn-et-Garonne,122.0,2021-06-30,0.0,,122.0,,71.0,72.0,2021-03-31,,,,amendes dressées dans l'année
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,82,Tarn-et-Garonne,3.0,2020-12-31,0.0,2017-12-31,3.0,,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,82,Tarn-et-Garonne,0.0,2020-12-31,,,,,,,,,,,contrôles dans l'année
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,82,Tarn-et-Garonne,17.0,2020-12-31,27.0,2017-12-31,-10.0,-37.0,26.0,-35.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,82,Tarn-et-Garonne,78.0,2021-03-31,78.0,2021-03-31,0.0,0.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,82,Tarn-et-Garonne,64.0,2021-06-30,10.0,2020-12-31,54.0,540.0,34.0,88.0,2021-03-31,,,,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,82,Tarn-et-Garonne,8.4,2020-12-31,12.74,2019-01-31,-4.0,-34.0,14.78,-43.0,2020-09-30,40.0,0.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,82,Tarn-et-Garonne,64.69,2020-12-31,38.74,2019-04-30,26.0,67.0,64.48,0.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,82,Tarn-et-Garonne,17.53,2020-12-31,20.05,2020-01-31,-3.0,-13.0,17.33,1.0,2020-09-30,20.0,0.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,82,Tarn-et-Garonne,12.0,2021-06-30,6.0,2017-06-30,6.0,100.0,11.0,9.0,2020-06-30,11.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,82,Tarn-et-Garonne,2.0,2020-12-31,,,,,,,,3.0,,2022-12-31,centres de santé
