mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,67,Bas-Rhin,128469.0,2021-02-28,186478.0,2017-03-31,-58009.0,-31.0,,,,heures de patrouille dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,67,Bas-Rhin,155.0,2021-03-31,0.0,,155.0,,,,,amendes dressées dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,67,Bas-Rhin,270.0,2020-12-31,52.0,2018-12-31,218.0,419.0,,,,contrôles dans l'année
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,67,Bas-Rhin,39.0,2020-12-31,44.0,2017-12-31,-5.0,-11.0,,,,morts dans l'année
