mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,32,Gers,29.0,2022-12-31,0.0,2020-10-31,29.0,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,32,Gers,427.0,2022-11-30,0.0,2020-09-30,427.0,,325.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,32,Gers,161.0,2022-11-30,0.0,2020-09-30,161.0,,108.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,32,Gers,1584.0,2022-10-31,731.0,2017-12-31,853.0,117.0,1216.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,32,Gers,4362.0,2022-07-31,3751.0,2019-07-31,611.0,16.0,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,32,Gers,541.0,2022-09-30,446.0,2017-01-31,95.0,21.0,691.0,39.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,32,Gers,74020.0,2022-12-31,0.0,2017-12-31,74020.0,,89176.0,83.0,2023-12-31,bénéficiaires
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,32,Gers,90.0,2022-12-31,62.0,2019-09-30,28.0,45.0,90.0,100.0,2022-12-31,%
