mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,53,Mayenne,1.0,2021-06-30,0.0,,1.0,,,,,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,53,Mayenne,197.0,2021-06-30,6.0,2021-02-28,191.0,3183.0,342.0,57.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,53,Mayenne,140.0,2021-06-30,42.0,2021-01-31,98.0,233.0,102.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,53,Mayenne,2823.0,2020-12-31,1787.0,2017-12-31,1036.0,58.0,2873.0,95.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,53,Mayenne,6505.0,2021-02-28,5978.0,2019-02-28,527.0,9.0,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,53,Mayenne,609.0,2021-03-31,510.0,2017-01-31,99.0,19.0,990.0,21.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,53,Mayenne,114972.0,2020-12-31,0.0,2017-01-01,114972.0,,135768.0,85.0,2023-12-31,bénéficiaires
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,53,Mayenne,91.0,2021-06-30,100.0,2019-03-31,-9.0,-9.0,90.0,100.0,2022-12-31,%
