mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,43,Haute-Loire,196.0,2021-10-31,0.0,,196.0,,133.0,100.0,2022-12-31,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,43,Haute-Loire,292.0,2021-10-31,14.0,2021-02-28,278.0,1986.0,322.0,90.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,43,Haute-Loire,87.0,2021-10-31,12.0,2021-01-31,75.0,625.0,102.0,83.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,43,Haute-Loire,1795.0,2020-12-31,994.0,2017-12-31,801.0,81.0,1772.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,43,Haute-Loire,5005.0,2021-07-31,4243.0,2019-07-31,762.0,18.0,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,43,Haute-Loire,623.0,2021-06-30,534.0,2017-01-31,89.0,17.0,1037.0,18.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,43,Haute-Loire,89823.0,2021-12-31,0.0,2017-01-01,89823.0,,104679.0,86.0,2023-12-31,bénéficiaires
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,43,Haute-Loire,89.0,2021-09-30,60.0,2019-09-30,29.0,48.0,90.0,97.0,2022-12-31,%
