mesure,indicateur,id_indicateur,maille_geographique,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,national,53552.0,2021-09-30,40201.0,2017-12-31,13351.0,33.0,55477.0,87.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,national,5129184.0,2021-12-31,2187526.0,2017-12-31,2941658.0,134.0,9000000.0,43.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,national,1326788.0,2021-11-30,0.0,2018-03-31,1326788.0,,1500000.0,88.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,national,49914.0,2021-11-30,0.0,,49914.0,,100000.0,50.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,national,37000000.0,2021-06-30,15550000.0,2017-06-30,21450000.0,138.0,66170000.0,42.0,2022-12-31,habitants
Plan de soutien aux petites lignes ferroviaires,Nombre de kilomètres de lignes rénovées,nb-km-lignes-regenerees,national,1100.0,2021-11-30,164.0,2017-12-31,936.0,571.0,1499.0,70.0,2022-12-31,kilomètres
